SparkleNewLife.rider.0	Sparkle New Life	rider	1B	32.0	47.0	Sparkle Ctymax	Sparkle Ctymax	Sparkle Ctymax fixed by 百九十八	
KhronostasisKatharsis.Halv.0	Khronostasis Katharsis	Halv	utosao	84.5	100.5	XMT小咩兔 & Myna	XMT小咩兔 & Myna	StupiGGy fixed by 百九十八	
SnowDesert.WyvernP.0	Snow Desert	WyvernP	knife美工刀	77.5	92.5	VikingNexus	VikingNexus	VikingNexus	
Burn.NceS.0	Burn	NceS	knife美工刀	81.0	96.0	Ctymatch Girl	Burn Full Catcats	Burn Full Catcats vs. Ctymatch Girl	
Aleph0.LeaF.0	Aleph-0	LeaF	Optie	11.519000053405762	26.45599937438965	Clutter	Clutter	Clutter	
NextTime.SaMZIng.0	Next Time	SaMZIng	叶藤	45.24700164794922	67.20999908447266	Gausbon ~ See you next time ~ 	Gausbon ~ See you next time ~ 	Gausbon ~ See you next time ~ 	
RubbishSorting.CtymaxvsNceS.0	Rubbish Sorting	Ctymax vs. NceS	knife美工刀	46.869998931884766	63.7400016784668	阿爽 vs. Ctymax -Haose 垃圾-	阿爽 vs. Ctymax -Haose 垃圾-	阿爽 vs. Ctymax -Haose 垃圾-	
AnotherMe.NeutralMoon.0	Another Me	Neutral Moon	IvyTowers	76.91600036621094	98.75	Another M3	Another M3	NerSAN	
mechanted.rareguy.0	mechanted	rareguy	IvyTowers	83.74099731445312	101.86599731445312	Ctymax	Ctymax	Ctymax	
lifeflashesbeforeweebeyes.BilliumMoto.0	life flashes before weeb eyes	BilliumMoto	百九十八	17.972999572753906	33.03900146484375	百九十八	百九十八	百九十八	
BreakThroughTheBarrier.lixound.0	Break Through The Barrier	lixound	Xquid	77.72000122070312	99.54000091552734	Su1fuR	Su1fuR	百九十八	
Chronostasis.黒皇帝.0	Chronostasis	黒皇帝	Sand	36.28300094604492	51.51100158691406	Uvernight	Uvernight	Gausbon fixed by XMT	
DeadSoul.SoundSouler.0	Dead Soul	Sound Souler	Photonskyto	14.626999855041504	34.09600067138672	Phigros Charting Team	Phigros Charting Team	Phigros Charting Team	
InfinityHeaven.HyuN.0	Infinity Heaven	HyuN	DoublePian	48.82600021362305	73.44999694824219	晨 vs. 阿爽	晨 vs. 阿爽	晨 vs. 阿爽	
Disorder.HyuNfeatYURI.0	Disorder	HyuN feat. YURI	Nabom	27.38599967956543	47.308998107910156	Gausbon	Gausbon	Gausbon	
CROSSSOUL.HyuNfeatSyepias.0	CROSS†SOUL	HyuN feat. Syepias	knife美工刀	92.4000015258789	111.5999984741211	無†極	無†極 fixed by Rikko	無†極	
SpeedUp.DarTokki.0	Speed Up!	DarTokki	TNiK	57.10300064086914	72.10299682617188	Ctymax vs. 百九十八	Ctymax vs. 百九十八	Ctymax vs. 百九十八	
MagentaPotion.EmoCo.0	Magenta Potion	EmoCo.	NOISER	28.395000457763672	47.98899841308594	Ctymax vs. 晨	Ctymax vs. 晨	Ctymax vs. 晨	
GetBack.CAP3.0	Get Back	CAP3	TNiK	30.0	46.875	JKy	JKy	JKy	
Palescreen.WyvernPfeatMadol.0	Palescreen	WyvernP feat. Madol	GAMEBAKA	24.97100067138672	38.49700164794922	Jeitie	Jeitie	Jeitie	
GOODTEK.EBIMAYO.0	GOODTEK	EBIMAYO	Ctymax feat. EBIMAYO	91.89299774169922	106.89299774169922	百九十八	百九十八	百九十八	
GOODBOUNCE.EBIMAYO.0	GOODBOUNCE	EBIMAYO	EBIMAYO	44.0	64.0	Gausbounce & 晨	Gausbounce	Ctymax vs. Gausbounce	
